TYPE,CATEGORY,NAME,LATITUDE,LONGITUDE,ADDRESS,CITY,STATE,ZIP,COUNTY,desc,STRATEGIC VALUE,ECONOMIC IMPACT,PHYSICAL IMPACT,SYSTEMIC IMPACT,PHYSICAL IMPACT RADIUS (mi),ZIPS AFFECTED,OCCUPIED HOUSING UNITS,POPULATION AFFECTED,RAW_IMPACT
Substation,Electricity Generation,Unknown308787,29.72021144,-95.20736194,No address available,Pasadena,TX,77506,Harris County,This electricity substation services the city of Pasadena and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77506, 77547]","[10390, 2709]",46843,1
Substation,Electricity Generation,Unknown308798,30.21879317,-95.13887185,No address available,Splendora,TX,77372,Montgomery County,This electricity substation services the city of Splendora and Montgomery County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77372],[4094],14103,1
Substation,Electricity Generation,Unknown308801,32.809195,-95.48458886,No address available,Quitman,TX,75783,Wood County,This electricity substation services the city of Quitman and Wood County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown308831,31.35831767,-94.67940345,No address available,Lufkin,TX,75901,Angelina County,This electricity substation services the city of Lufkin and Angelina County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown308835,32.18355603,-94.34645549,No address available,Carthage,TX,75633,Panola County,This electricity substation services the city of Carthage and Panola County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown308837,27.48660745,-99.0090811,No address available,Mirando City,TX,78369,Webb County,This electricity substation services the city of Mirando City and Webb County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Leo,31.86116812,-106.4461794,No address available,El Paso,TX,79904,El Paso County,This electricity substation services the city of El Paso and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79904, 79910, 79918]","[11574, None, None]",32804,1
Substation,Electricity Generation,Unknown308855,32.24264329,-96.14078378,No address available,Trinidad,TX,75163,Henderson County,This electricity substation services the city of Trinidad and Henderson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown308864,27.82054187,-97.0718759,No address available,Port Aransas,TX,78373,Nueces County,This electricity substation services the city of Port Aransas and Nueces County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78373],[1692],3271,1
Substation,Electricity Generation,Unknown308870,33.56262678,-96.19902511,No address available,Bonham,TX,75418,Fannin County,This electricity substation services the city of Bonham and Fannin County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75418],[4669],14726,1
Substation,Electricity Generation,Ross,31.74961027,-97.11352435,No address available,Ross,TX,76691,McLennan County,This electricity substation services the city of Ross and Mclennan County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown308880,30.6792103,-98.4579077,No address available,Kingsland,TX,78639,Llano County,This electricity substation services the city of Kingsland and Llano County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78639],[3271],7999,1
Substation,Electricity Generation,Unknown308890,32.44972556,-100.2318105,No address available,Tesco,TX,79556,Nolan County,This electricity substation services the city of Tesco and Nolan County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Sol,31.75016059,-106.3069847,No address available,El Paso,TX,79936,El Paso County,This electricity substation services the city of El Paso and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79935, 79936]","[6663, 34452]",126652,1
Substation,Electricity Generation,Unknown308911,31.41930296,-100.2524489,No address available,Wall,TX,76905,Tom Green County,This electricity substation services the city of Wall and Tom Green County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown308912,32.96243162,-96.74397466,No address available,Richardson,TX,75080,Dallas County,This electricity substation services the city of Richardson and Dallas County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75080],[17869],52420,1
Substation,Electricity Generation,Unknown308918,29.96333264,-93.89334415,No address available,Groves,TX,77642,Jefferson County,This electricity substation services the city of Groves and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77642, 77619]","[13451, 6387]",54959,1
Substation,Electricity Generation,Unknown308927,33.32740604,-101.8769023,No address available,New Home,TX,79373,Lynn County,This electricity substation services the city of New Home and Lynn County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown308935,32.76365483,-97.3366184,No address available,Fort Worth,TX,76164,Tarrant County,This electricity substation services the city of Fort Worth and Tarrant County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[76102, 76164, 76111]","[3162, 4591, 6608]",46322,1
Substation,Electricity Generation,Valley,31.61799505,-106.2857116,No address available,Socorro,TX,79927,El Paso County,This electricity substation services the city of Socorro and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79927],[10661],42140,1
Substation,Electricity Generation,Scottsdale,31.78386736,-106.3617717,No address available,El Paso,TX,79925,El Paso County,This electricity substation services the city of El Paso and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79925, 79935, 79915]","[15583, 6663, 13104]",94525,1
Substation,Electricity Generation,Ball Park,29.39671219,-98.4889106,No address available,San Antonio,TX,78210,Bexar County,This electricity substation services the city of San Antonio and Bexar County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78204, 78205, 78262, 78210, 78203]","[3874, 937, None, 12728, 1943]",53392,1
Substation,Electricity Generation,Cargill Wire,30.07627161,-94.11058628,No address available,Beaumont,TX,77701,Jefferson County,This electricity substation services the city of Beaumont and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77701, 77702, 77707]","[5378, 1222, 6412]",34512,1
Substation,Electricity Generation,Unknown308975,29.58902163,-98.04830163,No address available,Mcqueeney,TX,78155,Guadalupe County,This electricity substation services the city of Mcqueeney and Guadalupe County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78123],[933],2528,1
Substation,Electricity Generation,Unknown308979,34.24850271,-99.50981572,No address available,Chillicothe,TX,79225,Hardeman County,This electricity substation services the city of Chillicothe and Hardeman County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79225],[377],880,1
Substation,Electricity Generation,Unknown308986,32.5040988,-94.59023848,No address available,Hallsville,TX,75650,Harrison County,This electricity substation services the city of Hallsville and Harrison County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75650],[3098],9239,1
Substation,Electricity Generation,Toyah,31.26184854,-103.7943369,No address available,Pecos,TX,79772,Reeves County,This electricity substation services the city of Pecos and Reeves County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown308994,29.67897764,-97.30086663,No address available,Waelder,TX,78959,Gonzales County,This electricity substation services the city of Waelder and Gonzales County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78959],[680],1584,1
Substation,Electricity Generation,Unknown309005,29.74246797,-95.21348876,No address available,Galena Park,TX,77015,Harris County,This electricity substation services the city of Galena Park and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77547, 77506]","[2709, 10390]",46843,1
Substation,Electricity Generation,Unknown309007,33.25504065,-95.91232026,No address available,Commerce,TX,75428,Hunt County,This electricity substation services the city of Commerce and Hunt County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75428],[3768],11000,1
Substation,Electricity Generation,Unknown309012,33.18316714,-102.8871344,No address available,Plains,TX,79355,Yoakum County,This electricity substation services the city of Plains and Yoakum County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309022,32.30171668,-96.59960286,No address available,Ennis,TX,75119,Ellis County,This electricity substation services the city of Ennis and Ellis County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75119],[8976],28765,1
Substation,Electricity Generation,Happy City,34.74606698,-101.8492009,No address available,Happy,TX,79042,Swisher County,This electricity substation services the city of Happy and Swisher County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79042],[464],1203,1
Substation,Electricity Generation,Farah,31.7717275,-106.3666787,No address available,El Paso,TX,79925,El Paso County,This electricity substation services the city of El Paso and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79915, 79925, 79935]","[13104, 15583, 6663]",94525,1
Substation,Electricity Generation,Unknown309027,29.28051589,-97.74477841,No address available,Nixon,TX,78140,Gonzales County,This electricity substation services the city of Nixon and Gonzales County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78140],[1183],3601,1
Substation,Electricity Generation,Unknown309028,27.9867478,-97.32986932,No address available,Taft,TX,78390,San Patricio County,This electricity substation services the city of Taft and San Patricio County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309041,36.4756715,-101.3915974,No address available,Hitchland,TX,79040,Hansford County,This electricity substation services the city of Hitchland and Hansford County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309047,31.84839713,-103.0815051,No address available,Kermit,TX,79745,Winkler County,This electricity substation services the city of Kermit and Winkler County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79745],[2206],6559,1
Substation,Electricity Generation,Amistad Switchyard,29.44951319,-101.0556945,No address available,Del Rio,TX,78840,Val Verde County,This electricity substation services the city of Del Rio and Val Verde County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Ward Switch,31.45037965,-102.8255191,No address available,Grandfalls,TX,79742,Ward County,This electricity substation services the city of Grandfalls and Ward County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Mann,31.75076952,-106.3378308,No address available,El Paso,TX,79935,El Paso County,This electricity substation services the city of El Paso and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79935, 79915]","[6663, 13104]",55578,1
Substation,Electricity Generation,Grandview,29.40494486,-98.44417089,No address available,San Antonio,TX,78220,Bexar County,This electricity substation services the city of San Antonio and Bexar County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78210, 78203, 78202]","[12728, 1943, 3779]",50429,1
Substation,Electricity Generation,Unknown309063,30.47286519,-96.20443921,No address available,Millican,TX,77845,Brazos County,This electricity substation services the city of Millican and Brazos County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309064,29.98807017,-93.94686353,No address available,Port Neches,TX,77651,Jefferson County,This electricity substation services the city of Port Neches and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77651],[5171],13534,1
Substation,Electricity Generation,Unknown309068,31.86082889,-106.4453815,No address available,El Paso,TX,79904,El Paso County,This electricity substation services the city of El Paso and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79904, 79910, 79918]","[11574, None, None]",32804,1
Substation,Electricity Generation,Unknown309074,32.39112886,-98.97924173,No address available,Cisco,TX,76437,Eastland County,This electricity substation services the city of Cisco and Eastland County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76437],[2216],5593,1
Substation,Electricity Generation,Kirbyville,30.66835894,-93.89123003,No address available,Kirbyville,TX,75956,Jasper County,This electricity substation services the city of Kirbyville and Jasper County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75956],[2986],8275,1
Substation,Electricity Generation,Unknown309083,31.38340392,-103.6170266,No address available,Pecos,TX,79772,Reeves County,This electricity substation services the city of Pecos and Reeves County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Walzem Road,29.50969368,-98.36927123,No address available,San Antonio,TX,78239,Bexar County,This electricity substation services the city of San Antonio and Bexar County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78239, 78218]","[9890, 12367]",66816,1
Substation,Electricity Generation,Asarco,31.7860026,-106.5177373,No address available,El Paso,TX,79902,El Paso County,This electricity substation services the city of El Paso and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79902],[8515],19984,1
Substation,Electricity Generation,Unknown309127,29.87090925,-97.66123618,No address available,Lockhart,TX,78644,Caldwell County,This electricity substation services the city of Lockhart and Caldwell County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78644],[5572],20119,1
Substation,Electricity Generation,Bader,29.37057696,-98.94249678,No address available,Dunlay,TX,78009,Medina County,This electricity substation services the city of Dunlay and Medina County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309131,25.95088972,-97.49211143,No address available,Brownsville,TX,78521,Cameron County,This electricity substation services the city of Brownsville and Cameron County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78521],[25763],88791,1
Substation,Electricity Generation,Unknown309133,32.43453663,-95.37137027,No address available,Lindale,TX,75706,Smith County,This electricity substation services the city of Lindale and Smith County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Woodrow,33.19939993,-97.10920539,No address available,Denton,TX,76205,Denton County,This electricity substation services the city of Denton and Denton County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[76205, 76201, 76209]","[7233, 10534, 9293]",75440,1
Substation,Electricity Generation,Unknown309142,32.90857189,-94.71313041,No address available,Lone Star,TX,75668,Morris County,This electricity substation services the city of Lone Star and Morris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75668],[814],2272,1
Substation,Electricity Generation,Unknown309147,30.04816085,-95.92704889,No address available,Waller,TX,77484,Waller County,This electricity substation services the city of Waller and Waller County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77484],[3875],12914,1
Substation,Electricity Generation,Unknown309154,31.76242707,-93.90020867,No address available,Huxley,TX,75973,Shelby County,This electricity substation services the city of Huxley and Shelby County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309156,33.62594,-96.847,No address available,Whitesboro,TX,76273,Grayson County,This electricity substation services the city of Whitesboro and Grayson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309158,33.27467429,-96.62884469,No address available,Mckinney,TX,75071,Collin County,This electricity substation services the city of Mckinney and Collin County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309161,33.22868926,-97.76968404,No address available,Bridgeport,TX,76426,Wise County,This electricity substation services the city of Bridgeport and Wise County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76426],[3749],11350,1
Substation,Electricity Generation,Unknown309167,26.20687007,-97.70898282,No address available,Harlingen,TX,78550,Cameron County,This electricity substation services the city of Harlingen and Cameron County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78550],[17554],54486,1
Substation,Electricity Generation,Unknown309171,33.24071966,-94.86052774,No address available,Argo,TX,75558,Titus County,This electricity substation services the city of Argo and Titus County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309173,27.47560994,-99.46166406,No address available,Laredo,TX,78046,Webb County,This electricity substation services the city of Laredo and Webb County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309176,31.43356726,-98.17284748,No address available,Evant,TX,76525,Coryell County,This electricity substation services the city of Evant and Lampasas County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309178,32.02136704,-96.81157548,No address available,Frost,TX,76641,Navarro County,This electricity substation services the city of Frost and Navarro County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Ind Cplx,31.85913616,-106.3152985,No address available,Fort Bliss,TX,79916,El Paso County,This electricity substation services the city of Fort Bliss and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309187,32.07240927,-98.46988662,No address available,De Leon,TX,76444,Comanche County,This electricity substation services the city of De Leon and Comanche County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309188,29.58006564,-96.33276204,No address available,Eagle Lake,TX,77434,Colorado County,This electricity substation services the city of Eagle Lake and Colorado County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77434],[1750],4128,1
Substation,Electricity Generation,Mckinney,33.21367219,-97.10281129,No address available,Denton,TX,76209,Denton County,This electricity substation services the city of Denton and Denton County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[76209, 76201, 76205, 76208]","[9293, 10534, 7233, 6975]",102038,1
Substation,Electricity Generation,Unknown309200,32.88940642,-96.67373034,No address available,Garland,TX,75041,Dallas County,This electricity substation services the city of Garland and Dallas County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[75042, 75041, 75238]","[11545, 9642, 12012]",101588,1
Substation,Electricity Generation,Unknown309213,27.10321841,-97.52877941,No address available,Sarita,TX,78385,Kenedy County,This electricity substation services the city of Sarita and Kenedy County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Mexico Intertie,26.18240412,-98.40201641,No address available,Mission,TX,78560,Hidalgo County,This electricity substation services the city of Mission and Hidalgo County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Met Center,30.2110088,-97.69315672,No address available,Austin,TX,78744,Travis County,This electricity substation services the city of Austin and Travis County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78741, 78719]","[17673, 511]",48003,1
Substation,Electricity Generation,Cargill,34.59617132,-102.7456526,No address available,Friona,TX,79035,Parmer County,This electricity substation services the city of Friona and Parmer County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309237,32.26522882,-98.47456015,No address available,Desdemona,TX,76445,Eastland County,This electricity substation services the city of Desdemona and Erath County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Crockett,31.36438732,-95.39546958,No address available,Crockett,TX,75835,Houston County,This electricity substation services the city of Crockett and Houston County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Dallas,31.7649943,-106.4693785,No address available,El Paso,TX,79901,El Paso County,This electricity substation services the city of El Paso and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79901, 79902, 79905, 79903]","[4206, 8515, 8363, 6671]",66304,1
Substation,Electricity Generation,Cromo,31.81316378,-106.5387224,No address available,El Paso,TX,79912,El Paso County,This electricity substation services the city of El Paso and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[79922, 88063]","[2964, 3416]",7210,1
Substation,Electricity Generation,Unknown309259,25.94107477,-97.53277986,No address available,Brownsville,TX,78520,Cameron County,This electricity substation services the city of Brownsville and Cameron County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78520],[17566],60592,1
Substation,Electricity Generation,Unknown309261,31.65537803,-95.70992857,No address available,Tucker,TX,75801,Anderson County,This electricity substation services the city of Tucker and Anderson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309272,36.49616314,-101.5865329,No address available,Goodwell,TX,79040,Hansford County,This electricity substation services the city of Goodwell and Hansford County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Witter,29.71635666,-95.20040218,No address available,Pasadena,TX,77506,Harris County,This electricity substation services the city of Pasadena and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77506, 77547]","[10390, 2709]",46843,1
Substation,Electricity Generation,Unknown309279,29.53749842,-100.8960306,No address available,Del Rio,TX,78840,Val Verde County,This electricity substation services the city of Del Rio and Val Verde County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Hidden Valley,29.3961228,-95.84089865,No address available,Needville,TX,77461,Fort Bend County,This electricity substation services the city of Needville and Fort Bend County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77461],[3675],11824,1
Substation,Electricity Generation,Unknown309301,31.00492562,-100.5554076,No address available,Eldorado,TX,76936,Schleicher County,This electricity substation services the city of Eldorado and Schleicher County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309319,27.43553824,-98.83006201,No address available,Bruni,TX,78344,Webb County,This electricity substation services the city of Bruni and Webb County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78344],[162],415,1
Substation,Electricity Generation,Unknown309320,26.51501994,-98.6099145,No address available,Rio Grande City,TX,78582,Starr County,This electricity substation services the city of Rio Grande City and Starr County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309322,29.30817158,-97.74081327,No address available,Nixon,TX,78140,Gonzales County,This electricity substation services the city of Nixon and Gonzales County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309331,29.98736203,-93.96099101,No address available,Port Neches,TX,77651,Jefferson County,This electricity substation services the city of Port Neches and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77651, 77627]","[5171, 8670]",35430,1
Substation,Electricity Generation,Unknown309333,30.64572096,-99.59289133,No address available,London,TX,76854,Kimble County,This electricity substation services the city of London and Kimble County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76854],[200],288,1
Substation,Electricity Generation,Unknown309337,32.26955791,-100.1769786,No address available,Blair,TX,79537,Nolan County,This electricity substation services the city of Blair and Nolan County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309343,31.44512934,-100.4773852,No address available,San Angelo,TX,76901,Tom Green County,This electricity substation services the city of San Angelo and Tom Green County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76903],[12217],30312,1
Substation,Electricity Generation,Bergen,31.9146581,-106.591872,No address available,Canutillo,TX,79835,El Paso County,This electricity substation services the city of Canutillo and El Paso County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79835],[3683],12231,1
Substation,Electricity Generation,Unknown309348,26.64097832,-97.7656094,No address available,RudoLPh,TX,78338,Kenedy County,This electricity substation services the city of RudoLPh and Kenedy County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309356,30.08215104,-94.13394215,No address available,Beaumont,TX,77702,Jefferson County,This electricity substation services the city of Beaumont and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77707, 77702, 77701, 77706]","[6412, 1222, 5378, 12693]",63707,1
Substation,Electricity Generation,Unknown309357,31.07359794,-100.5096639,No address available,Christoval,TX,76936,Schleicher County,This electricity substation services the city of Christoval and Schleicher County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown309362,32.11283792,-95.1482091,No address available,Troup,TX,75789,Smith County,This electricity substation services the city of Troup and Cherokee County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75789],[2849],8919,1
Substation,Electricity Generation,Unknown309371,33.65047598,-101.6657196,No address available,Idalou,TX,79329,Lubbock County,This electricity substation services the city of Idalou and Lubbock County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79329],[1198],3086,1
Substation,Electricity Generation,Dunlavy,29.7526426,-95.40185485,No address available,Houston,TX,77019,Harris County,This electricity substation services the city of Houston and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77006, 77007, 77019, 77098, 77002, 77046]","[11809, 16083, 9955, 7856, 3080, 846]",121114,1
Substation,Electricity Generation,Unknown309377,29.6023421,-96.37847799,No address available,Alleyton,TX,78935,Colorado County,This electricity substation services the city of Alleyton and Colorado County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
